"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Mike Ohlman","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".279",".322",".601",".270"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa501614"
"Bobby Coyle","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".259",".352",".611",".270"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa388372"
"Casey Haerther","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".265",".347",".612",".270"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa501491"
"Michael Snyder","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".258",".349",".607",".269"," ","74","0.0","0.0"," ","0.0","0.0","0.0","sa658566"
"Matt Juengel","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".267",".337",".603",".268"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa658579"
"Kenny Williams Jr.","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".269",".331",".600",".268"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa454712"
"Dillon Baird"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".264",".336",".600",".267"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa328255"
"Julio Morban","Mariners","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".267",".334",".601",".267"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa503304"
"Joe Dunigan","Mariners","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".198",".249",".352",".601",".266"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa389233"
"Jason Bartlett","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".285",".303",".588",".266"," ","66","0.0","0.0"," ","0.0","0.0","0.0","8219"
"Richie Shaffer","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".202",".261",".332",".593",".266"," ","72","0.0","0.0"," ","0.0","0.0","0.0","13271"
"Dennis Raben","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".205",".253",".346",".599",".266"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa454440"
"Ben Heath","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".215",".262",".333",".595",".265"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa548341"
"Matt Gedman","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".263",".330",".593",".264"," ","62","0.0","0.0"," ","0.0","0.0","0.0","sa526187"
"Nate Roberts","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".277",".304",".581",".263"," ","64","0.0","0.0"," ","0.0","0.0","0.0","sa548432"
"Jeremy Barnes","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".221",".266",".317",".583",".261"," ","63","0.0","0.0"," ","0.0","0.0","0.0","sa501661"
"Kolbrin Vitek","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".224",".267",".315",".582",".261"," ","60","0.0","0.0"," ","0.0","0.0","0.0","sa548187"
"Shane Brown","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".267",".310",".577",".259"," ","60","0.0","0.0"," ","0.0","0.0","0.0","sa503750"
"Keith Castillo","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".209",".265",".311",".576",".259"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa546820"
"Aaron Miller","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".203",".255",".324",".580",".259"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa327134"
