"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"David Freitas","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".290",".345",".635",".285"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa549143"
"Tony Sanchez","Pirates","71","65","14","3","0","2","6","7","5","18","1","0","0"," ",".223",".284",".353",".637",".284"," ","81","0.0","-0.4"," ","-1.6","1.1","0.2","6178"
"J.T. Wise","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".281",".358",".639",".284"," ","74","0.0","0.0"," ","0.0","0.0","0.0","sa505632"
"Zane Chavez","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".284",".353",".637",".284"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa628321"
"Tommy Joseph","Phillies","31","29","6","1","0","1","3","3","2","7","0","0","0"," ",".220",".265",".374",".639",".283"," ","77","0.0","0.0"," ","-0.8","0.6","0.1","sa500806"
"Chris Snyder","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".285",".346",".631",".283"," ","77","0.0","0.0"," ","0.0","0.0","0.0","4606"
"Tyler Flowers","White Sox","365","330","69","13","1","12","36","39","24","123","5","2","1"," ",".208",".270",".363",".633",".282"," ","75","-1.0","-0.8"," ","-11.0","6.9","0.8","9134"
"Carson Blair","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".210",".282",".347",".629",".282"," ","74","0.0","0.0"," ","0.0","0.0","0.0","5429"
"Josh Ford"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".280",".356",".635",".282"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa294416"
"Jackson Williams","Giants","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".229",".285",".348",".633",".282"," ","60","0.0","0.0"," ","0.0","0.0","0.0","8524"
"J.P. Arencibia","Rays","31","29","6","1","0","1","3","4","2","9","0","0","0"," ",".209",".256",".385",".640",".282"," ","76","0.0","-0.3"," ","-0.9","0.3","0.0","697"
"Robert Kral","Padres","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".204",".289",".333",".622",".282"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa526396"
"J.T. Realmuto","Marlins","62","57","13","3","0","1","5","6","4","10","0","1","1"," ",".234",".285",".347",".632",".282"," ","76","0.0","0.0"," ","-1.7","1.2","0.1","11739"
"John Suomi","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".284",".351",".635",".281"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa199527"
"Daniel Bethea","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".282",".349",".632",".281"," ","74","0.0","0.0"," ","0.0","0.0","0.0","sa738923"
